Rank,Word,Part-of-speech,frequency,Dispersion,Normalization
135,three,m,266744,0.98,0.0118849092346556
140,between,i,264158,0.94,0.0117675437760453
142,really,r,263414,0.91,0.0117337773796006
138,never,r,262584,0.96,0.0116961078781904
139,become,v,259102,0.97,0.0115380775120338
141,high,j,255936,0.96,0.0113943887873779
157,student,n,255047,0.88,0.0113540415744218
143,something,p,254910,0.94,0.011347823837442
144,most,r,246360,0.96,0.0109597825879764
146,much,d,244507,0.97,0.0108756842914548
147,family,n,243267,0.97,0.010819406964047
149,out,i,242443,0.96,0.0107820097722856
154,mean,v,242198,0.93,0.0107708904616284
145,another,d,240646,0.98,0.0107004530324856
150,leave,v,240482,0.96,0.0106930099020865
148,own,d,240452,0.98,0.0106916483538428
159,let,v,240300,0.93,0.0106847498427412
151,put,v,237480,0.96,0.0105567643078297
155,on,r,236980,0.95,0.0105340718371007
152,old,j,236577,0.96,0.0105157817056932
158,why,r,235442,0.95,0.0104642697971384
153,while,c,234555,0.97,0.0104240133540652
156,keep,v,231760,0.96,0.0102971624426902
163,group,n,229435,0.93,0.0101916424538004
168,talk,v,229429,0.92,0.0101913701441517
162,big,j,227169,0.96,0.0100888001764567
174,hand,n,225247,0.91,0.0100015703189744
160,great,j,225005,0.97,0.00999058716314162
166,country,n,223138,0.95,0.0099058534774396
161,same,d,222836,0.98,0.0098921472251193
170,turn,v,221392,0.94,0.00982661136965399
165,seem,v,219627,0.97,0.00974650694798069
164,begin,v,218617,0.98,0.00970066815710814
171,problem,n,217728,0.96,0.00966032094415201
167,help,v,216082,0.98,0.00958561733051221
176,American,j,214968,0.95,0.00953505850572803
173,start,v,213952,0.96,0.00948894740520674
169,where,c,213744,0.98,0.00947950733738348
172,every,a,212739,0.97,0.00943389547121823
175,might,v,209059,0.98,0.00926687888665292
179,about,r,208550,0.97,0.00924377795145082
182,over,r,208260,0.95,0.00923061631842801
177,show,v,208037,0.98,0.00922049547648289
178,part,n,207861,0.98,0.00921250772678628
183,such,d,207065,0.95,0.00917638131338574
184,again,r,206895,0.94,0.00916866587333789
193,right,r,205250,0.90,0.00909400764463954
180,against,i,204379,0.98,0.00905447736062965
189,company,n,203345,0.93,0.00900754933116212
181,place,n,202427,0.98,0.00896588595490371
186,case,n,200773,0.95,0.00889081926173223
191,system,n,200175,0.94,0.00886367906674037
188,week,n,199268,0.95,0.008822514924838
185,few,d,197266,0.97,0.00873165427203915
187,most,d,197086,0.96,0.00872348498257672
192,each,d,196522,0.95,0.00869788787559443
195,hear,v,196070,0.93,0.00867737388205543
194,program,n,195985,0.93,0.0086735161620315
190,where,r,194427,0.96,0.00860280642323999
197,question,n,192070,0.95,0.00849583411622357
196,so,c,191893,0.95,0.00848780098158552
201,government,n,191314,0.94,0.00846152310048135
198,during,i,190729,0.95,0.00843497290972844
211,Mr,n,188555,0.91,0.00833630604699883
200,play,v,188328,0.96,0.00832600366528787
199,work,n,187533,0.97,0.00828992263682879
202,run,v,187325,0.96,0.00828048256900553
204,number,n,186005,0.96,0.00822057444628102
203,small,j,185463,0.97,0.00819597580801081
209,night,n,184511,0.93,0.00815276934374282
205,off,r,183854,0.95,0.00812295143720494
215,today,r,183724,0.93,0.00811705139481541
217,happen,v,182714,0.93,0.00807121260394286
208,like,v,182341,0.95,0.00805428402077904
206,always,r,179474,0.97,0.00792416539361906
207,move,v,179388,0.97,0.00792026228865367
213,believe,v,178397,0.96,0.00787528581166883
212,point,n,177481,0.97,0.00783371320529334
214,hold,v,177368,0.97,0.00782858470690859
222,all,r,177317,0.93,0.00782627007489423
223,million,m,176895,0.93,0.00780711762959897
218,next,m,176306,0.96,0.00778038589908023
210,live,v,176144,0.98,0.00777303353856404
221,large,j,175611,0.96,0.00774884336476694
216,bring,v,174366,0.98,0.00769233911265178
241,study,n,174069,0.88,0.00767885978503876
220,before,i,172769,0.98,0.00761985936114341
228,room,n,172472,0.92,0.0076063800335304
219,without,i,172448,0.98,0.0076052907949354
224,must,v,171043,0.96,0.00754152495218696
225,home,n,170527,0.96,0.00751810632239465
239,lot,n,169570,0.92,0.00747467293341938
230,mother,n,169407,0.93,0.00746727518796174
243,eye,n,169150,0.89,0.00745561125800704
227,water,n,167666,0.96,0.00738826000488342
232,national,j,166359,0.95,0.00732894188639786
231,area,n,165812,0.95,0.00730411632342035
233,money,n,164794,0.95,0.00725791445301615
226,under,i,164766,0.98,0.00725664367465532
236,fact,n,164401,0.95,0.00724007817102317
234,story,n,163582,0.96,0.0072029079039691
240,right,n,163259,0.95,0.00718824856787817
237,month,n,162685,0.96,0.0071621976114813
238,different,j,162411,0.96,0.00714976213752182
229,write,v,161824,0.98,0.00712312117688599
252,head,n,160131,0.91,0.00704628447099766
235,young,j,160011,0.98,0.00704083827802271
259,yes,u,157364,0.89,0.00692070433798347
248,issue,n,156417,0.94,0.00687772479842278
250,kind,n,155032,0.95,0.0068148666545035
244,job,n,154743,0.96,0.00680175040642215
247,business,n,154468,0.95,0.00678926954752121
242,book,n,154013,0.98,0.00676861939915784
245,word,n,152891,0.97,0.006717697494842
249,side,n,152559,0.96,0.00670262969427796
246,though,c,152182,0.97,0.00668551957134831
263,provide,v,150879,0.91,0.00662638299262858
254,black,j,150718,0.96,0.00661907601705385
251,four,m,150646,0.97,0.00661580830126887
257,little,j,149658,0.94,0.0065709679791084
258,house,n,149251,0.94,0.00655249630793501
255,long,j,149050,0.97,0.00654337393470196
253,far,r,148621,0.98,0.0065239037948165
269,sit,v,147185,0.92,0.00645873101888286
256,both,d,146338,0.97,0.00642028997346796
274,game,n,146311,0.92,0.0064190645800486
264,service,n,146122,0.94,0.00641048682611304
268,father,n,145051,0.93,0.00636187955381156
270,away,r,144713,0.93,0.00634653944359877
278,political,j,144437,0.92,0.00633401319975637
267,important,j,144194,0.95,0.00632298465898209
265,around,i,143766,0.96,0.00630355990403808
266,friend,n,142697,0.96,0.00625504340161952
260,after,c,142289,0.98,0.00623652634550467
285,however,r,142282,0.91,0.00623620865091446
262,long,r,142007,0.97,0.00622372779201352
272,power,n,141357,0.95,0.00619422758006584
261,since,c,141264,0.98,0.00619000678051025
282,stand,v,140937,0.92,0.0061751659046535
271,until,c,140819,0.96,0.00616981048156146
275,often,r,140731,0.95,0.00616581660671316
273,hour,n,138955,0.96,0.00608521295068381
280,among,i,138192,0.94,0.00605058424035139
277,line,n,135986,0.98,0.00595046505949512
281,ever,r,135774,0.96,0.00594084345190603
276,yet,r,135484,0.98,0.00592768181888322
283,bad,j,134910,0.96,0.00590163086248635
286,member,n,134731,0.95,0.00589350695796538
304,president,n,134203,0.90,0.00586954370887557
279,end,n,134104,0.98,0.00586505059967123
284,lose,v,134102,0.97,0.00586495982978832
288,law,n,133706,0.95,0.00584698739297096
290,car,n,133571,0.94,0.00584086042587414
293,include,v,133563,0.93,0.00584049734634247
287,pay,v,133133,0.96,0.00582098182151555
297,community,n,133057,0.93,0.00581753256596474
320,social,j,132899,0.89,0.00581036174521439
291,city,n,132684,0.95,0.00580060398280092
308,team,n,131489,0.92,0.00574636897775866
289,meet,v,128737,0.98,0.00562146961886634
292,almost,r,127907,0.98,0.00558380011745623
295,set,v,127369,0.97,0.00555938301895184
315,information,n,127331,0.94,0.00555765839117644
331,face,n,127291,0.89,0.00555584299351812
299,name,n,127139,0.97,0.00554894448241651
302,white,j,126760,0.96,0.00553174358960394
316,nothing,p,126717,0.94,0.00552979203712125
309,minute,n,126660,0.95,0.00552720509545815
296,later,r,126495,0.98,0.00551971658011758
313,kid,n,126428,0.95,0.0055166757890399
318,right,j,126278,0.94,0.00550986804782121
301,once,r,126203,0.97,0.00550646417721186
294,continue,v,126029,0.98,0.00549856719739817
298,much,r,126029,0.98,0.00549856719739817
300,five,m,125571,0.97,0.00547778089421042
317,ago,r,125252,0.95,0.00546330309788533
314,body,n,125165,0.96,0.00545935460797849
323,back,n,125006,0.94,0.00545213840228668
344,door,n,124993,0.88,0.00545154839804772
324,watch,v,124976,0.94,0.00545077685404294
310,best,j,124850,0.96,0.00544505835141923
305,learn,v,124346,0.97,0.00542218434092442
306,real,j,124187,0.97,0.0054149681352326
311,several,d,124039,0.97,0.00540825116389682
303,least,r,123961,0.98,0.0054047111384631
307,change,v,123183,0.98,0.00536940165400881
327,around,r,122789,0.94,0.00535151998707437
319,lead,v,122691,0.97,0.00534707226281149
312,idea,n,122140,0.98,0.00532206516006815
322,whether,c,121921,0.96,0.00531212585788886
339,level,n,121704,0.91,0.00530227732559248
330,stop,v,121481,0.94,0.00529215648364735
321,understand,v,121354,0.97,0.00528639259608219
332,anything,p,120292,0.94,0.00523819378825383
334,public,j,119825,0.95,0.00521699902059296
328,parent,n,119610,0.97,0.0052072412581795
326,follow,v,119425,0.97,0.00519884504400978
333,create,v,119419,0.95,0.00519857273436103
325,together,r,119186,0.98,0.00518799804300132
349,such,i,119125,0.92,0.00518522956157239
347,art,n,117851,0.93,0.00512740914615494
341,add,v,117842,0.94,0.00512700068168182
350,war,n,117804,0.93,0.00512527605390642
345,health,n,117762,0.94,0.00512336988636518
329,only,j,117700,0.98,0.00512055601999479
336,speak,v,117358,0.96,0.00510503437001617
355,result,n,116277,0.92,0.00505597324830011
348,sure,j,116186,0.94,0.00505184321862743
372,teacher,n,116100,0.88,0.00504794011366205
337,others,n,115771,0.97,0.00503300846792238
335,already,r,115220,0.98,0.00500800136517904
351,history,n,114904,0.95,0.00499365972367832
340,allow,v,114892,0.97,0.00499311510438083
363,research,n,114802,0.90,0.00498903045964961
342,office,n,114791,0.97,0.00498853122529357
353,within,i,114599,0.93,0.00497981731653364
343,spend,v,114569,0.97,0.0049784557682899
338,read,v,114094,0.97,0.00495689792109737
358,morning,n,114002,0.92,0.00495272250648324
359,walk,v,113787,0.92,0.00494296474406978
377,education,n,113731,0.89,0.00494042318734813
346,person,n,113650,0.97,0.00493674700709004
352,party,n,112962,0.96,0.00490552216736696
357,change,n,112426,0.94,0.00488119583874549
356,open,v,111857,0.94,0.00485537180705591
362,win,v,111478,0.93,0.00483817091424334
364,girl,n,110409,0.93,0.00478965441182477
365,guy,n,110409,0.93,0.00478965441182477
354,grow,v,110020,0.97,0.00477199966959763
369,moment,n,109720,0.94,0.00475838418716024
370,himself,p,109288,0.94,0.0047387778924504
361,low,j,108990,0.95,0.00472525317989592
384,maybe,r,108421,0.92,0.00469942914820634
366,early,j,108171,0.95,0.00468808291284185
373,force,n,108005,0.95,0.00468054901255983
379,although,c,107925,0.93,0.00467691821724319
367,food,n,107728,0.96,0.00466797738377597
389,policy,n,107601,0.92,0.00466221349621081
368,before,c,107448,0.96,0.00465526960016774
383,boy,n,107447,0.93,0.00465522421522629
392,process,n,107341,0.91,0.00465041341143174
381,foot,n,107285,0.94,0.0046478718547101
380,remember,v,106879,0.94,0.00462944556847816
360,reason,n,106863,0.97,0.00462871940941483
374,offer,v,106473,0.96,0.00461101928224623
376,both,r,106361,0.95,0.00460593616880294
385,toward,i,105984,0.94,0.00458882604587328
371,air,n,105932,0.96,0.00458646602891747
375,enough,r,105880,0.96,0.00458410601196166
378,across,i,105559,0.96,0.00456953744575365
397,actually,r,105155,0.92,0.00455120192940463
388,off,i,104122,0.95,0.00450431928487855
391,love,v,103681,0.95,0.00448430452569559
394,including,i,103650,0.94,0.0044828975925104
382,second,m,103621,0.97,0.00448158142920811
412,oh,u,103613,0.89,0.00448121834967645
390,everything,p,103591,0.95,0.00448021988096438
387,age,n,103402,0.96,0.00447164212702882
430,yeah,u,103389,0.84,0.00447105212278987
386,able,j,103171,0.97,0.00446115820555203
393,music,n,102657,0.95,0.00443783034564264
401,wait,v,102463,0.93,0.00442902566699979
395,consider,v,101987,0.96,0.0044074224348658
400,human,j,101224,0.94,0.00437279372453338
398,buy,v,101105,0.95,0.00436739291649988
396,appear,v,100671,0.97,0.00434769585190712
403,market,n,100435,0.94,0.00433698500572304
399,probably,r,99754,0.96,0.00430607786059017
402,serve,v,99660,0.95,0.00430181167609312
404,die,v,98376,0.96,0.00424353741126109
421,experience,n,98106,0.93,0.00423128347706744
407,home,r,97937,0.95,0.00422361342196105
413,nation,n,97212,0.95,0.00419070933940402
416,college,n,97038,0.94,0.00418281235959034
410,stay,v,96933,0.96,0.00417804694073725
411,fall,v,96908,0.95,0.0041769123172008
409,build,v,96651,0.96,0.00416524838724611
417,interest,n,96620,0.95,0.00416384145406091
405,send,v,96613,0.97,0.0041635237594707
429,use,n,96564,0.90,0.00416129989733926
419,course,r,96224,0.95,0.00414586901724355
415,cut,v,96012,0.95,0.00413624740965447
408,sense,n,95896,0.97,0.00413098275644534
414,plan,n,95824,0.96,0.00412771504066037
420,someone,p,95608,0.95,0.00411791189330545
406,expect,v,95566,0.98,0.00411600572576421
428,effect,n,95216,0.92,0.00410012099625393
422,behind,i,95047,0.93,0.00409245094114753
418,death,n,93222,0.98,0.00400962342298675
424,local,j,92970,0.95,0.00399818641773934
425,kill,v,92660,0.95,0.00398411708588737
431,suggest,v,92643,0.93,0.00398334554188259
423,reach,v,92375,0.96,0.00397118237757185
449,development,n,91995,0.90,0.00395393609981782
432,class,n,91323,0.94,0.00392343741915807
427,remain,v,91319,0.96,0.00392325587939224
426,six,m,90571,0.97,0.00388930794318168
454,economic,j,90392,0.91,0.00388118403866071
433,control,n,90301,0.94,0.00387705400898803
466,voice,n,89379,0.90,0.00383520909296379
447,require,v,89280,0.93,0.00383071598375945
443,former,d,88930,0.94,0.00381483125424916
435,care,n,88862,0.96,0.00381174507823002
437,little,r,88697,0.95,0.00380425656288946
452,role,n,88666,0.92,0.00380284962970426
498,thank,v,88574,0.86,0.00379867421509013
451,report,v,88138,0.93,0.00377888638061446
441,else,r,87876,0.95,0.00376699552595247
444,sell,v,87865,0.95,0.00376649629159643
445,major,j,87487,0.95,0.00374934078372532
465,light,n,87427,0.93,0.00374661768723784
440,field,n,87243,0.96,0.00373826685800958
472,pull,v,87243,0.91,0.00373826685800958
458,rate,n,87224,0.94,0.00373740454412188
436,perhaps,r,87060,0.98,0.00372996141372277
434,raise,v,87036,0.98,0.00372887217512778
463,show,n,86828,0.94,0.00371943210730452
439,hard,j,86817,0.97,0.00371893287294849
455,effort,n,86473,0.95,0.00370332045308695
438,late,j,86421,0.98,0.00370096043613113
462,drug,n,86231,0.94,0.00369233729725412
442,pass,v,86184,0.97,0.0036902042050056
469,police,n,85880,0.93,0.00367640718280237
456,up,i,85759,0.95,0.00367091560488596
464,leader,n,85438,0.95,0.00365634703867795
450,themselves,p,85256,0.97,0.00364808697933261
475,military,j,85152,0.93,0.00364336694542098
460,possible,j,85084,0.96,0.00364028076940184
448,along,i,84926,0.97,0.00363310994865148
492,arm,n,84865,0.91,0.00363034146722254
446,sometimes,r,84845,0.98,0.00362943376839338
485,develop,v,84835,0.92,0.0036289799189788
487,relationship,n,84549,0.92,0.00361599982572182
461,heart,n,84536,0.96,0.00361540982148287
476,price,n,84443,0.94,0.00361118902192728
457,decide,v,84035,0.97,0.00359267196581243
453,better,j,83895,0.98,0.00358631807400832
479,according,i,83773,0.94,0.00358078111115044
468,whole,j,83756,0.96,0.00358000956714566
507,season,n,83743,0.89,0.00357941956290671
459,strong,j,83677,0.98,0.00357642415677048
467,wife,n,83601,0.96,0.00357297490121967
477,report,n,83174,0.95,0.00355359553121712
505,model,n,82973,0.91,0.00354447315798407
500,value,n,82942,0.92,0.00354306622479888
478,less,r,82930,0.95,0.00354252160550138
497,difference,n,82911,0.92,0.00354165929161368
470,mind,n,82808,0.96,0.00353698464264351
480,decision,n,82429,0.95,0.00351978374983094
474,free,j,82090,0.97,0.00350439825467669
471,finally,r,81951,0.97,0.00349808974781403
494,federal,j,81826,0.94,0.00349241663013179
473,return,v,81812,0.97,0.00349178124095138
501,international,j,81610,0.93,0.00348261348277687
483,hope,v,81385,0.96,0.00347240187094883
514,player,n,81358,0.91,0.00347117647752946
486,view,n,81338,0.96,0.0034702687787003
508,society,n,81192,0.92,0.00346364257724744
490,road,n,80987,0.95,0.00345433866424856
482,son,n,80895,0.97,0.00345016324963442
481,explain,v,80797,0.97,0.00344571552537154
510,tax,n,80713,0.92,0.00344190319028907
506,join,v,80609,0.93,0.00343718315637745
491,drive,v,80476,0.96,0.00343114695916354
499,receive,v,80250,0.95,0.00342088996239404
503,action,n,80009,0.95,0.00340995219150267
489,town,n,79821,0.97,0.00340141982250857
511,director,n,79813,0.93,0.00340105674297691
488,carry,v,79513,0.97,0.00338744126053952
495,break,v,79310,0.97,0.00337822811742355
493,true,j,79299,0.97,0.00337772888306751
484,even,c,79087,0.98,0.00336810727547843
527,official,n,79026,0.91,0.00336533879404949
524,form,n,78493,0.92,0.00334114862025239
502,building,n,78487,0.97,0.00334087631060365
496,better,r,78334,0.98,0.00333393241456058
538,activity,n,77980,0.90,0.00331786614528446
519,wear,v,77921,0.94,0.00331518843373844
504,full,j,77547,0.97,0.00329821446563316
517,record,n,77509,0.94,0.00329648983785776
518,pick,v,77197,0.95,0.00328232973612287
513,position,n,77124,0.96,0.00327901663539644
509,because,i,77116,0.97,0.00327865355586478
515,agree,v,76753,0.96,0.00326217882211554
560,data,n,76594,0.88,0.00325496261642372
525,support,v,76544,0.94,0.00325269336935082
516,especially,r,76304,0.96,0.00324180098340091
533,site,n,75932,0.94,0.00322491778517855
537,base,v,75887,0.93,0.00322287546281294
512,early,r,75605,0.98,0.00321007690932179
526,event,n,75559,0.95,0.00320798920201473
535,project,n,75446,0.94,0.00320286070362998
522,space,n,75395,0.96,0.00320054607161562
520,paper,n,75383,0.97,0.00320000145231813
521,special,j,75298,0.97,0.0031961437322942
540,table,n,75228,0.93,0.00319296678639214
528,whose,d,74914,0.96,0.00317871591477434
541,need,n,74877,0.93,0.0031770366719404
532,couple,n,74871,0.96,0.00317676436229165
553,figure,n,74858,0.92,0.0031761743580527
523,ground,n,74713,0.97,0.00316959354154129
531,center,n,74559,0.96,0.00316260426055676
530,everyone,p,74534,0.96,0.00316146963702031
547,oil,n,74386,0.93,0.00315475266568454
543,produce,v,74169,0.94,0.00314490413338816
542,court,n,74112,0.94,0.00314231719172505
536,hit,v,73999,0.95,0.0031371886933403
529,matter,n,73842,0.97,0.0031300632575314
565,practice,n,73745,0.91,0.00312566091820998
539,star,n,73695,0.95,0.00312339167113708
551,cost,n,73512,0.94,0.00311508622685028
544,eat,v,73505,0.95,0.00311476853226007
534,end,v,73099,0.97,0.00309634224602814
545,American,n,73063,0.95,0.00309470838813565
552,industry,n,73055,0.94,0.00309434530860399
546,teach,v,72668,0.95,0.00307678133625975
549,situation,n,72603,0.95,0.00307383131506499
573,patient,n,72217,0.91,0.00305631272766221
556,image,n,72216,0.94,0.00305626734272075
555,street,n,71645,0.95,0.00303035254114826
595,Republican,n,71611,0.88,0.00302880945313869
550,easy,j,71602,0.96,0.00302840098866556
558,phone,n,71599,0.95,0.00302826483384119
572,wall,n,71390,0.93,0.00301877938107648
569,describe,v,71377,0.93,0.00301818937683752
557,itself,p,71093,0.96,0.00300530005346346
548,half,d,70930,0.97,0.00299790230800581
570,product,n,70883,0.94,0.00299576921575729
568,recent,j,70685,0.94,0.00298678299734861
575,news,n,70051,0.94,0.00295800894446426
562,quite,r,69966,0.96,0.00295415122444034
574,worker,n,69962,0.94,0.0029539696846745
576,test,n,69870,0.94,0.00294979427006037
567,land,n,69750,0.96,0.00294434807708542
586,technology,n,69565,0.93,0.00293595186291569
603,hair,n,69564,0.89,0.00293590647797423
559,either,r,69497,0.97,0.00293286568689655
554,face,v,69493,0.98,0.00293268414713072
571,doctor,n,69446,0.95,0.00293055105488219
583,support,n,69431,0.93,0.00292987028076032
561,cover,v,69387,0.97,0.00292787334333617
577,movie,n,69387,0.94,0.00292787334333617
563,picture,n,69229,0.97,0.00292070252258582
566,piece,n,68901,0.97,0.0029058162617876
564,clear,j,68662,0.98,0.00289496926077915
591,type,n,68481,0.93,0.00288675458637526
608,window,n,68303,0.90,0.00287867606679574
587,catch,v,68214,0.94,0.00287463680700598
579,north,n,68046,0.96,0.00286701213684104
581,personal,j,67917,0.96,0.00286115747939297
589,baby,n,67881,0.94,0.00285952362150048
580,love,n,67495,0.96,0.00284200503409771
590,computer,n,67399,0.95,0.00283764807971774
600,organization,n,67278,0.93,0.00283215650180133
578,certain,j,67228,0.97,0.00282988725472843
582,open,j,67218,0.97,0.00282943340531385
612,culture,n,67128,0.91,0.00282534876058263
585,third,m,67037,0.97,0.00282121873090996
597,source,n,66862,0.94,0.00281327636615481
594,film,n,66724,0.95,0.00280701324423362
584,simply,r,66712,0.97,0.00280646862493612
596,tree,n,66630,0.94,0.00280274705973657
588,step,n,66232,0.97,0.0027846838530363
598,red,j,66217,0.94,0.00278400307891443
604,look,n,66194,0.94,0.0027829592252609
606,century,n,65667,0.94,0.00275904136111255
607,evidence,n,65360,0.94,0.00274510818408495
592,attention,n,65271,0.97,0.00274106892429519
613,billion,m,65243,0.93,0.00273979814593437
593,draw,v,65198,0.97,0.00273775582356876
610,listen,v,64984,0.94,0.00272804344609676
599,nearly,r,64860,0.96,0.00272241571335597
617,period,n,64534,0.93,0.00270762022244068
602,cause,v,64531,0.97,0.0027074840676163
601,choose,v,64348,0.97,0.00269917862332949
641,campaign,n,64172,0.90,0.00269119087363289
616,energy,n,64139,0.94,0.00268969317056478
618,course,n,64012,0.94,0.00268392928299962
609,difficult,j,63947,0.96,0.00268097926180485
630,condition,n,63489,0.93,0.0026601929586171
624,plant,n,63476,0.93,0.00265960295437815
615,brother,n,63406,0.95,0.00265642600847609
623,available,j,63187,0.94,0.0026464867062968
611,soon,r,63168,0.96,0.0026456243924091
625,likely,j,63002,0.94,0.00263809049212707
643,population,n,62999,0.91,0.0026379543373027
605,point,v,62980,0.98,0.002637092023415
